  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 11:01:31	   7.996	  -4.000	  420.25	 1017.52	   14.60	   756.8	  2702.2	  2680.9	  1136.6	  -255.7	 -1547.1	   0.000	   1.232	   985.0	    40.0	  454733	  109.40	  109.40	   11.00	   11.30	    0.00	  17.514	  17.929	  32.413	  32.264	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 11:01:55	   7.996	  -6.000	  420.23	 1017.52	   14.66	  -149.0	  4040.0	  3221.9	   916.4	  -960.7	 -2237.6	   0.000	   1.232	   984.9	    40.0	  454598	  122.99	  123.00	   17.44	   18.28	    0.00	  17.739	  18.423	  34.010	  33.679	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 11:02:37	   7.996	   5.995	  420.58	 1017.53	   14.72	  1968.0	 -3207.8	   829.3	  2486.3	   874.7	  1640.6	   0.000	   1.231	   985.8	    40.0	  454674	   82.00	   82.02	    1.85	    0.88	    0.00	  18.454	  19.313	  33.049	  31.487	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 11:03:07	   7.996	   0.005	  420.79	 1017.52	   14.74	    13.6	   558.8	  2267.6	  1816.5	  -833.9	  -345.4	   0.000	   1.231	   986.3	    40.0	  454745	  122.99	  123.00	   17.84	   18.09	    0.00	  18.714	  19.538	  34.078	  33.553	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 11:03:35	   7.996	   6.000	  420.47	 1017.52	   14.78	  -137.6	 -3145.6	  1330.7	  2872.3	  -971.0	  1620.6	   0.000	   1.231	   985.5	    40.0	  454479	  123.01	  123.00	   17.61	   18.19	    0.00	  19.176	  20.157	  33.983	  33.581	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 11:04:06	   7.996	   0.000	  420.23	 1017.51	   14.81	  2181.0	   431.0	  1780.8	  1470.0	   978.6	  -284.4	   0.000	   1.231	   984.9	    40.0	  454294	   81.99	   82.00	    1.15	    1.01	    0.00	  19.868	  20.931	  31.091	  30.497	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 11:04:28	   7.996	  -6.000	  420.27	 1017.51	   14.84	  2026.0	  3937.6	  2781.7	   604.4	   763.1	 -2174.5	   0.000	   1.231	   985.0	    40.0	  454258	   82.00	   82.00	    0.98	    1.65	    0.00	  20.120	  21.013	  30.926	  31.306	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
