  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   7.996	  -4.000	  0.9944	0.031049	-0.10434	-0.06784	-0.114866	  0.9881	-0.106247	-0.02001	-0.31485	 0.02854	0.023695	0.106247	0.994426	 0.00152	-0.31871	 0.03163	    6.98	   24.17	  229.20	    0.48	  -11.66	   10.08	  420.25	 1017.52	   14.60	   1.232	   985.0	   39.99	3.533E+5	   0.118
       2	   7.996	  -6.000	  1.0082	0.003671	-0.16318	-0.06718	-0.153519	  0.9965	-0.162666	-0.02720	-0.31631	 0.04139	-0.013406	0.162666	1.008178	 0.00541	-0.31413	 0.04562	   -1.46	   37.01	  232.31	    1.72	  -11.49	   14.53	  420.23	 1017.52	   14.66	   1.232	   984.9	   39.99	3.532E+5	   0.118
       3	   7.996	   5.995	  0.9742	0.087167	 0.12786	-0.01458	-0.062901	  0.9750	0.136269	 0.00819	-0.25833	-0.03201	0.073336	-0.136269	0.974244	-0.01861	-0.27026	-0.03347	   18.29	  -31.03	  224.78	   -5.93	   -9.85	  -10.67	  420.58	 1017.53	   14.72	   1.231	   985.8	   40.01	3.533E+5	   0.118
       4	   7.996	   0.005	  0.9969	-0.006160	-0.02032	-0.06996	-0.144770	  0.9863	-0.020323	-0.01165	-0.31654	 0.00538	-0.006158	0.020323	0.996871	-0.00746	-0.31554	 0.00707	    0.19	    4.63	  230.05	   -2.38	  -11.56	    2.25	  420.79	 1017.52	   14.74	   1.231	   986.3	   40.03	3.533E+5	   0.118
       5	   7.996	   6.000	  1.0149	0.002366	 0.13352	-0.07855	-0.152665	  1.0034	0.133040	 0.00450	-0.32939	-0.03215	-0.011604	-0.133040	1.014859	-0.02175	-0.32750	-0.03310	   -1.05	  -30.29	  233.97	   -6.93	  -12.00	  -10.55	  420.47	 1017.52	   14.78	   1.231	   985.5	   40.01	3.531E+5	   0.118
       6	   7.996	   0.000	  0.9695	0.081486	-0.01474	 0.00702	-0.054164	  0.9714	-0.014737	-0.00789	-0.23582	 0.00466	0.081486	0.014737	0.969451	-0.00476	-0.24908	 0.00581	   20.13	    3.35	  223.50	   -1.52	   -9.05	    1.85	  420.23	 1017.51	   14.81	   1.231	   984.9	   40.00	3.530E+5	   0.118
       7	   7.996	  -6.000	  0.9916	0.090742	-0.15026	-0.01925	-0.064119	  0.9923	-0.158922	-0.02294	-0.26732	 0.04070	0.074538	0.158922	0.991551	 0.00891	-0.27944	 0.04432	   18.55	   36.16	  228.55	    2.84	  -10.19	   14.12	  420.27	 1017.51	   14.84	   1.231	   985.0	   40.01	3.529E+5	   0.118
