  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      10	   7.996	  -5.995	  1.0089	0.006311	-0.17659	-0.06824	-0.152391	  0.9974	-0.176281	-0.03054	-0.31759	 0.04679	-0.012167	0.176281	1.008886	 0.00508	-0.31561	 0.05154	   -1.18	   40.18	  232.89	    1.62	  -11.56	   16.45	  420.97	 1017.44	   14.16	   1.234	   986.7	   40.00	3.543E+5	   0.118
      11	   7.996	   5.995	  0.9717	0.087294	 0.11119	-0.01028	-0.060695	  0.9727	0.119697	 0.00414	-0.25345	-0.02546	0.075203	-0.119697	0.971680	-0.01899	-0.26569	-0.02629	   18.74	  -27.28	  224.42	   -6.06	   -9.69	   -8.39	  421.00	 1017.42	   14.32	   1.233	   986.8	   40.01	3.541E+5	   0.118
      12	   7.996	   0.000	  0.9964	-0.004479	-0.03617	-0.07103	-0.143044	  0.9861	-0.036170	-0.01564	-0.31756	 0.01171	-0.004479	0.036170	0.996420	-0.00794	-0.31683	 0.01402	    0.57	    8.25	  230.12	   -2.54	  -11.61	    4.47	  421.10	 1017.43	   14.36	   1.233	   987.0	   40.02	3.540E+5	   0.118
      13	   7.996	   6.000	  1.0120	0.002422	 0.11724	-0.07236	-0.150522	  1.0008	0.116847	 0.00051	-0.32256	-0.02572	-0.009845	-0.116847	1.011975	-0.02215	-0.32095	-0.02604	   -0.65	  -26.62	  233.45	   -7.06	  -11.76	   -8.31	  420.72	 1017.44	   14.40	   1.233	   986.1	   40.00	3.538E+5	   0.118
      14	   7.996	   0.000	  0.9683	0.083169	-0.03112	 0.00922	-0.052336	  0.9704	-0.031117	-0.01197	-0.23339	 0.01111	0.083169	0.031117	0.968295	-0.00521	-0.24692	 0.01290	   20.53	    7.09	  223.42	   -1.66	   -8.97	    4.11	  420.56	 1017.43	   14.44	   1.232	   985.7	   39.99	3.537E+5	   0.118
      15	   7.996	  -5.995	  0.9921	0.093095	-0.16347	-0.01886	-0.063232	  0.9930	-0.172303	-0.02604	-0.26710	 0.04597	0.075513	0.172303	0.992120	 0.00877	-0.27939	 0.05008	   18.78	   39.22	  228.77	    2.79	  -10.19	   15.96	  420.43	 1017.42	   14.48	   1.232	   985.4	   39.99	3.536E+5	   0.118
      16	   4.004	   0.000	  0.6207	0.057019	-0.03307	 0.03766	0.013535	  0.6232	-0.033072	-0.01200	-0.11815	 0.01330	0.057019	0.033072	0.620747	-0.00565	-0.12742	 0.01418	   14.71	    7.53	  144.23	   -1.80	   -4.34	    4.52	  420.59	 1017.41	   14.53	   1.232	   985.8	   40.00	3.536E+5	   0.118
