  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      10	 10:11:56	   7.996	  -5.995	  420.97	 1017.44	   14.16	  -118.6	  4466.1	  3329.6	   811.3	  -943.5	 -2531.9	   0.000	   1.234	   986.7	    40.0	  455987	  122.98	  123.00	   17.77	   17.96	    0.00	  16.709	  16.899	  33.955	  33.536	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 10:12:48	   7.996	   5.995	  421.00	 1017.42	   14.32	  2016.2	 -2703.0	   942.5	  2348.1	   923.1	  1291.2	   0.000	   1.233	   986.8	    40.0	  455685	   81.99	   82.01	    2.05	    1.38	    0.00	  17.748	  18.575	  31.763	  31.819	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 10:13:20	   7.996	   0.000	  421.10	 1017.43	   14.36	    55.2	  1048.7	  2385.4	  1689.3	  -807.1	  -686.1	   0.000	   1.233	   987.0	    40.0	  455660	  123.00	  123.01	   17.26	   18.27	    0.00	  18.234	  19.038	  33.999	  33.511	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 10:13:47	   7.996	   6.000	  420.72	 1017.44	   14.40	   -94.1	 -2650.0	  1439.8	  2734.6	  -920.1	  1276.8	   0.000	   1.233	   986.1	    40.0	  455373	  123.01	  122.98	   17.51	   17.90	    0.00	  18.797	  19.740	  34.036	  33.721	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 10:14:14	   7.996	   0.000	  420.56	 1017.43	   14.44	  2224.3	   933.0	  1898.5	  1335.9	  1016.7	  -631.4	   0.000	   1.232	   985.7	    40.0	  455202	   82.01	   82.00	    1.07	    0.84	    0.00	  19.496	  20.506	  31.468	  30.927	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 10:14:44	   7.996	  -5.995	  420.43	 1017.42	   14.48	  2050.9	  4348.0	  2880.8	   501.5	   781.7	 -2457.5	   0.000	   1.232	   985.4	    40.0	  455047	   82.01	   82.00	    1.53	    1.75	    0.00	  19.879	  20.643	  31.261	  31.732	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 10:15:23	   4.004	   0.000	  420.59	 1017.41	   14.53	  1590.6	  1009.1	  1294.8	   695.5	   902.1	  -693.7	   0.000	   1.232	   985.8	    40.0	  455043	   82.00	   82.00	    0.63	    0.81	    0.00	  19.888	  20.254	  31.056	  30.454	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
